method,model_name,split,seed,threshold_source,label,f1,auprc,gold,pred,gold_rate,pred_rate,source_file
asl,microsoft/deberta-v3-base,test,42,provided,Stimulation,0.2710526315789474,0.17991016761056539,371.0,389.0,0.02546502848513968,0.026700528519459126,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Hedonism,0.22857142857142856,0.19296646517855562,125.0,50.0,0.008579861349440594,0.0034319445397762373,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Achievement,0.3511525257479156,0.29854890373586396,911.0,1128.0,0.06253002951472304,0.07742466881735191,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Power: dominance,0.30586236193712824,0.21170489658305544,631.0,546.0,0.04331114009197611,0.03747683437435651,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Power: resources,0.32944754181449565,0.2439702825721493,805.0,1168.0,0.05525430709039742,0.0801702244491729,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Face,0.21033210332103322,0.12925601322435437,267.0,275.0,0.018326583842405108,0.018875694968769306,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Security: personal,0.32530120481927716,0.24191908645524157,352.0,312.0,0.02416088956002471,0.02141533392820372,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Security: societal,0.40785624738821563,0.3657385175369017,1151.0,1242.0,0.07900336330564899,0.08524950236804173,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Tradition,0.4257703081232493,0.36945246804319537,196.0,161.0,0.01345322259592285,0.011050861418079485,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Conformity: rules,0.394939493949395,0.33896556283597085,911.0,907.0,0.06253002951472304,0.06225547395154094,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Conformity: interpersonal,0.11962616822429908,0.05748748868141961,195.0,340.0,0.013384583705127325,0.023337222870478413,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Humility,0.06382978723404256,0.03384269335597729,30.0,64.0,0.0020591667238657424,0.004392889010913584,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Benevolence: caring,0.18672199170124482,0.1049844236202912,324.0,640.0,0.022239000617750016,0.04392889010913584,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Benevolence: dependability,0.26455026455026454,0.1522557681880814,288.0,279.0,0.019768000549111125,0.019150250531951404,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Universalism: concern,0.3912037037037037,0.3211496737059027,735.0,993.0,0.05044958473471069,0.06815841855995607,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Universalism: nature,0.5588652482269503,0.4531810130852065,293.0,412.0,0.02011119500308875,0.028279223007756194,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Universalism: tolerance,0.21153846153846154,0.12389591900347695,171.0,141.0,0.011737250326034732,0.009678083602168989,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,7,provided,Self-direction: thought,0.05856515373352855,0.03496603347459777,171.0,512.0,0.011737250326034732,0.03514311208730867,results/logs/deberta_asl_seed7_deberta-v3-base_test_metrics.json
