method,model_name,split,threshold_source,label,f1_mean,f1_std,f1_count,auprc_mean,auprc_std,auprc_count,gold_mean,gold_std,gold_count,pred_mean,pred_std,pred_count,gold_rate_mean,gold_rate_std,gold_rate_count,pred_rate_mean,pred_rate_std,pred_rate_count,f1_mean_std,auprc_mean_std,gold_mean_std,pred_mean_std,gold_rate_mean_std,pred_rate_mean_std
empirical_structure,microsoft/deberta-v3-base,test,provided,Security: societal,0.4224702891893758,0.006580180845749451,5,0.3812266297577369,0.010931503473845526,5,1151.0,0.0,5,1599.0,224.2899908600471,5,0.07900336330564899,0.0,5,0.10975358638204406,0.015395016189172012,5,0.4225 ± 0.0066,0.3812 ± 0.0109,1151.0000 ± 0.0000,1599.0000 ± 224.2900,0.0790 ± 0.0000,0.1098 ± 0.0154
empirical_structure,microsoft/deberta-v3-base,test,provided,Self-direction: action,0.1887110638218576,0.010674462321530192,5,0.12195939709726719,0.010498055871058336,5,512.0,0.0,5,676.8,173.34560853970314,5,0.03514311208730867,0.0,5,0.046454801290411143,0.011898250294440466,5,0.1887 ± 0.0107,0.1220 ± 0.0105,512.0000 ± 0.0000,676.8000 ± 173.3456,0.0351 ± 0.0000,0.0465 ± 0.0119
empirical_structure,microsoft/deberta-v3-base,test,provided,Self-direction: thought,0.11655885917283071,0.00909376765987636,5,0.0599658556143481,0.006083616299118875,5,171.0,0.0,5,418.6,184.5285885709854,5,0.011737250326034732,0.0,5,0.028732239687006656,0.012665837639576183,5,0.1166 ± 0.0091,0.0600 ± 0.0061,171.0000 ± 0.0000,418.6000 ± 184.5286,0.0117 ± 0.0000,0.0287 ± 0.0127
empirical_structure,microsoft/deberta-v3-base,test,provided,Stimulation,0.25376017959412916,0.00337545073741867,5,0.18090866088609622,0.009586170846803795,5,371.0,0.0,5,431.0,130.96373543847932,5,0.02546502848513968,0.0,5,0.029583361932871165,0.008989205534935776,5,0.2538 ± 0.0034,0.1809 ± 0.0096,371.0000 ± 0.0000,431.0000 ± 130.9637,0.0255 ± 0.0000,0.0296 ± 0.0090
empirical_structure,microsoft/deberta-v3-base,test,provided,Tradition,0.4372201729294658,0.024182534368107605,5,0.3954376311713566,0.029443783249790998,5,196.0,0.0,5,229.2,44.18936523644575,5,0.01345322259592285,0.0,5,0.01573203377033427,0.003033109014787956,5,0.4372 ± 0.0242,0.3954 ± 0.0294,196.0000 ± 0.0000,229.2000 ± 44.1894,0.0135 ± 0.0000,0.0157 ± 0.0030
empirical_structure,microsoft/deberta-v3-base,test,provided,Universalism: concern,0.41327806975547154,0.01441697226365532,5,0.3621882381281315,0.014149373596956505,5,735.0,0.0,5,893.0,109.41891975339549,5,0.05044958473471069,0.0,5,0.06129452948040359,0.007510393283917596,5,0.4133 ± 0.0144,0.3622 ± 0.0141,735.0000 ± 0.0000,893.0000 ± 109.4189,0.0504 ± 0.0000,0.0613 ± 0.0075
empirical_structure,microsoft/deberta-v3-base,test,provided,Universalism: nature,0.5606630633945311,0.011196549974014649,5,0.5062442894264721,0.010941385531721332,5,293.0,0.0,5,377.8,33.20692698820534,5,0.02011119500308875,0.0,5,0.025931772942549246,0.00227928663519839,5,0.5607 ± 0.0112,0.5062 ± 0.0109,293.0000 ± 0.0000,377.8000 ± 33.2069,0.0201 ± 0.0000,0.0259 ± 0.0023
empirical_structure,microsoft/deberta-v3-base,test,provided,Universalism: tolerance,0.21940356496228747,0.024982949967624145,5,0.1424208421776371,0.012627573095336742,5,171.0,0.0,5,222.4,60.50454528380492,5,0.011737250326034732,0.0,5,0.015265289312924705,0.004152964876367968,5,0.2194 ± 0.0250,0.1424 ± 0.0126,171.0000 ± 0.0000,222.4000 ± 60.5045,0.0117 ± 0.0000,0.0153 ± 0.0042
random_geoloss,microsoft/deberta-v3-base,test,provided,Achievement,0.35153215883026423,0.01022391707062572,5,0.30352571792066735,0.014271432983933501,5,911.0,0.0,5,1074.6,92.16181421825421,5,0.06253002951472304,0.0,5,0.07375935204887088,0.006325884701644193,5,0.3515 ± 0.0102,0.3035 ± 0.0143,911.0000 ± 0.0000,1074.6000 ± 92.1618,0.0625 ± 0.0000,0.0738 ± 0.0063
random_geoloss,microsoft/deberta-v3-base,test,provided,Benevolence: caring,0.22908612992888747,0.01239352783739795,5,0.15945941086861073,0.011131502816540087,5,324.0,0.0,5,554.2,177.63642644457806,5,0.022239000617750016,0.0,5,0.03803967327887982,0.012192767276036659,5,0.2291 ± 0.0124,0.1595 ± 0.0111,324.0000 ± 0.0000,554.2000 ± 177.6364,0.0222 ± 0.0000,0.0380 ± 0.0122
