comparison,main_paper_comparison,condition_a,condition_b,condition_a_family,condition_b_family,reference_seed,metric,higher_is_better,score_a,score_b,delta_a_minus_b,delta_ci_low,delta_ci_high,improvement_a_over_b,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,decoder_geometry_cost,False,0.5633430836399489,0.5668048887519286,-0.0034618051119796878,-0.02601654939224553,0.015012428513491148,0.0034618051119796878,-0.015012428513491148,0.02601654939224553,0.621,14569,2000,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,macro_f1,True,0.24295939842614378,0.29630508495553604,-0.053345686529392256,-0.06471145348362323,-0.04160311382306168,-0.053345686529392256,-0.06471145348362323,-0.04160311382306168,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,micro_f1,True,0.2730267336123114,0.33617000699761096,-0.06314327338529957,-0.07238273854545647,-0.054406658146693335,-0.06314327338529957,-0.07238273854545647,-0.054406658146693335,0.0,14569,2000,42,True
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,opposite_error_rate,False,0.5214343667030334,0.5176442861557007,0.0037900805473327637,-0.007900121808052062,0.01502199918031692,-0.0037900805473327637,-0.01502199918031692,0.007900121808052062,0.534,14569,2000,42,False
qwen_definitions_vs_bce_thresholding,False,qwen_definitions,bce_thresholding_seed42,llm,bce_thresholding,42.0,decoder_geometry_cost,False,0.5757443684383586,0.5668048887519286,0.008939479686430052,-0.015206587606786337,0.028773115963212522,-0.008939479686430052,-0.028773115963212522,0.015206587606786337,0.505,14569,2000,42,False
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,macro_f1,True,0.2395924129005671,0.2974823597244084,-0.0578899468238413,-0.06794995519382858,-0.046890595308693966,-0.0578899468238413,-0.06794995519382858,-0.046890595308693966,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,micro_f1,True,0.2643078796457636,0.3368865720890124,-0.07257869244324883,-0.08062467130253591,-0.06437234954792195,-0.07257869244324883,-0.08062467130253591,-0.06437234954792195,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,opposite_error_rate,False,0.5321758389472961,0.5153728127479553,0.01680302619934082,0.005518116056919098,0.02797039896249771,-0.01680302619934082,-0.02797039896249771,-0.005518116056919098,0.002,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,decoder_geometry_cost,False,0.5633430836399489,0.551401591090652,0.011941492549296884,-0.010562522890320636,0.030064129070964698,-0.011941492549296884,-0.030064129070964698,0.010562522890320636,0.361,14569,2000,42,False
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed42,llm,schwartz_decoder,42.0,macro_f1,True,0.24295939842614378,0.2974823597244084,-0.054522961298264616,-0.06610374405101468,-0.0430528459410127,-0.054522961298264616,-0.06610374405101468,-0.0430528459410127,0.0,14569,2000,42,True
