method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_decoder_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_decoder_geometry_cost,test_n_predictions,test_prediction_rate
bce,7,deberta-v3-base,random,neighbor_only,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,neighbor_only,pareto_98,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,neighbor_only,pareto_95,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,opposite_only,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,opposite_only,f1,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,opposite_only,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,opposite_only,pareto_98,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,opposite_only,pareto_95,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,neighbor_opposite,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,random,neighbor_opposite,f1,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
