method,model_slug,geometry,family,objective,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_micro_f1_mean,test_micro_f1_std,test_micro_f1_count,test_macro_auprc_mean,test_macro_auprc_std,test_macro_auprc_count,test_micro_auprc_mean,test_micro_auprc_std,test_micro_auprc_count,test_circular_error_mean,test_circular_error_std,test_circular_error_count,test_opposite_value_activation_mean,test_opposite_value_activation_std,test_opposite_value_activation_count,test_neighbor_error_rate_mean,test_neighbor_error_rate_std,test_neighbor_error_rate_count,test_opposite_error_rate_mean,test_opposite_error_rate_std,test_opposite_error_rate_count,test_confusion_distance_correlation_mean,test_confusion_distance_correlation_std,test_confusion_distance_correlation_count,test_decoder_geometry_cost_mean,test_decoder_geometry_cost_std,test_decoder_geometry_cost_count,test_n_predictions_mean,test_n_predictions_std,test_n_predictions_count,test_prediction_rate_mean,test_prediction_rate_std,test_prediction_rate_count
bce,deberta-v3-base,random,full,f1,0.293339800884324,0.0037418543870757935,5,0.3423935198119731,0.006126728392002603,5,0.23446448247414203,0.007810518809958895,5,0.28337874633406945,0.01113674885401063,5,0.17047090976868162,0.08938978787094885,5,0.0627760685834394,0.03342373224680243,5,0.19132792880717445,0.0037934360944606176,5,0.5093598559824171,0.0096501387136683,5,-0.13713581191588972,0.009554543043480416,5,0.5635519728737017,0.011863909066360657,5,11722.4,485.0168038326096,5,0.04234802807691891,0.001752158706961102,5
bce,deberta-v3-base,random,full,pareto_95,0.29351110694790855,0.003758176672517053,5,0.34288558819937814,0.0062118523031628025,5,0.23306842804923716,0.005687062813898772,5,0.27844548361134835,0.008949149383124392,5,0.2646608912633938,0.06632870484278647,5,0.10059739570246821,0.02782941350403053,5,0.19144109109894691,0.0038770924354379916,5,0.5099191918119897,0.00906179186598917,5,-0.13886192641193087,0.009141674737335837,5,0.5624983564990058,0.011540101904196527,5,11663.8,529.3124785984176,5,0.04213633128741271,0.0019121800744855417,5
bce,deberta-v3-base,random,full,pareto_98,0.29351110694790855,0.003758176672517053,5,0.34288558819937814,0.0062118523031628025,5,0.23306842804923716,0.005687062813898772,5,0.27844548361134835,0.008949149383124392,5,0.2646608912633938,0.06632870484278647,5,0.10059739570246821,0.02782941350403053,5,0.19144109109894691,0.0038770924354379916,5,0.5099191918119897,0.00906179186598917,5,-0.13886192641193087,0.009141674737335837,5,0.5624983564990058,0.011540101904196527,5,11663.8,529.3124785984176,5,0.04213633128741271,0.0019121800744855417,5
bce,deberta-v3-base,random,full,pareto_99,0.29351110694790855,0.003758176672517053,5,0.34288558819937814,0.0062118523031628025,5,0.23306842804923716,0.005687062813898772,5,0.27844548361134835,0.008949149383124392,5,0.2646608912633938,0.06632870484278647,5,0.10059739570246821,0.02782941350403053,5,0.19144109109894691,0.0038770924354379916,5,0.5099191918119897,0.00906179186598917,5,-0.13886192641193087,0.009141674737335837,5,0.5624983564990058,0.011540101904196527,5,11663.8,529.3124785984176,5,0.04213633128741271,0.0019121800744855417,5
bce,deberta-v3-base,random,full,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,random,neighbor_only,f1,0.293339800884324,0.0037418543870757935,5,0.3423935198119731,0.006126728392002603,5,0.23446448247414203,0.007810518809958895,5,0.28337874633406945,0.01113674885401063,5,0.17047090976868162,0.08938978787094885,5,0.0627760685834394,0.03342373224680243,5,0.19132792880717445,0.0037934360944606176,5,0.5093598559824171,0.0096501387136683,5,-0.13713581191588972,0.009554543043480416,5,0.5635519728737017,0.011863909066360657,5,11722.4,485.0168038326096,5,0.04234802807691891,0.001752158706961102,5
bce,deberta-v3-base,random,neighbor_only,pareto_95,0.29340795992223645,0.0037227957956718154,5,0.34257785058088497,0.005888931335031275,5,0.23490850249885958,0.007121631517155894,5,0.2825594999173105,0.013187748930764775,5,0.16398685220221926,0.06404683756804612,5,0.06033675115876362,0.024489907667715412,5,0.19151735134681472,0.003870728530580423,5,0.5092000185042536,0.009686821634929173,5,-0.13755498393548182,0.010028121460678613,5,0.5631623859155865,0.011943911416460335,5,11724.2,480.3589283025765,5,0.042354530708678485,0.001735331790653467,5
bce,deberta-v3-base,random,neighbor_only,pareto_98,0.29340795992223645,0.0037227957956718154,5,0.34257785058088497,0.005888931335031275,5,0.23490850249885958,0.007121631517155894,5,0.2825594999173105,0.013187748930764775,5,0.16398685220221926,0.06404683756804612,5,0.06033675115876362,0.024489907667715412,5,0.19151735134681472,0.003870728530580423,5,0.5092000185042536,0.009686821634929173,5,-0.13755498393548182,0.010028121460678613,5,0.5631623859155865,0.011943911416460335,5,11724.2,480.3589283025765,5,0.042354530708678485,0.001735331790653467,5
bce,deberta-v3-base,random,neighbor_only,pareto_99,0.29340795992223645,0.0037227957956718154,5,0.34257785058088497,0.005888931335031275,5,0.23490850249885958,0.007121631517155894,5,0.2825594999173105,0.013187748930764775,5,0.16398685220221926,0.06404683756804612,5,0.06033675115876362,0.024489907667715412,5,0.19151735134681472,0.003870728530580423,5,0.5092000185042536,0.009686821634929173,5,-0.13755498393548182,0.010028121460678613,5,0.5631623859155865,0.011943911416460335,5,11724.2,480.3589283025765,5,0.042354530708678485,0.001735331790653467,5
bce,deberta-v3-base,random,neighbor_only,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,random,neighbor_opposite,f1,0.293339800884324,0.0037418543870757935,5,0.3423935198119731,0.006126728392002603,5,0.23446448247414203,0.007810518809958895,5,0.28337874633406945,0.01113674885401063,5,0.17047090976868162,0.08938978787094885,5,0.0627760685834394,0.03342373224680243,5,0.19132792880717445,0.0037934360944606176,5,0.5093598559824171,0.0096501387136683,5,-0.13713581191588972,0.009554543043480416,5,0.5635519728737017,0.011863909066360657,5,11722.4,485.0168038326096,5,0.04234802807691891,0.001752158706961102,5
bce,deberta-v3-base,random,neighbor_opposite,pareto_95,0.29340795992223645,0.0037227957956718154,5,0.34257785058088497,0.005888931335031275,5,0.23490850249885958,0.007121631517155894,5,0.2825594999173105,0.013187748930764775,5,0.16398685220221926,0.06404683756804612,5,0.06033675115876362,0.024489907667715412,5,0.19151735134681472,0.003870728530580423,5,0.5092000185042536,0.009686821634929173,5,-0.13755498393548182,0.010028121460678613,5,0.5631623859155865,0.011943911416460335,5,11724.2,480.3589283025765,5,0.042354530708678485,0.001735331790653467,5
bce,deberta-v3-base,random,neighbor_opposite,pareto_98,0.29340795992223645,0.0037227957956718154,5,0.34257785058088497,0.005888931335031275,5,0.23490850249885958,0.007121631517155894,5,0.2825594999173105,0.013187748930764775,5,0.16398685220221926,0.06404683756804612,5,0.06033675115876362,0.024489907667715412,5,0.19151735134681472,0.003870728530580423,5,0.5092000185042536,0.009686821634929173,5,-0.13755498393548182,0.010028121460678613,5,0.5631623859155865,0.011943911416460335,5,11724.2,480.3589283025765,5,0.042354530708678485,0.001735331790653467,5
bce,deberta-v3-base,random,neighbor_opposite,pareto_99,0.29340795992223645,0.0037227957956718154,5,0.34257785058088497,0.005888931335031275,5,0.23490850249885958,0.007121631517155894,5,0.2825594999173105,0.013187748930764775,5,0.16398685220221926,0.06404683756804612,5,0.06033675115876362,0.024489907667715412,5,0.19151735134681472,0.003870728530580423,5,0.5092000185042536,0.009686821634929173,5,-0.13755498393548182,0.010028121460678613,5,0.5631623859155865,0.011943911416460335,5,11724.2,480.3589283025765,5,0.042354530708678485,0.001735331790653467,5
